"","sex","age","agegr","placesize","region","edu","eduspec","socprof","unempdur","income","marital","ls","depress","trust","trustfam","trustneigh","sport","nofriend","smoke","nociga","alcabuse","alcsol","workab","wkabdur","wkabint","wkabintdur","emcc","englang","height","weight","bmi"
"3025","FEMALE",19,"16-24","URBAN 20,000-100,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",12,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,60,20.7612456747405
"3026","FEMALE",22,"16-24","RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","no specialisation","UNEMPLOYED",0,350,"SINGLE","MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",154,47,19.8178444931692
"3027","FEMALE",48,"45-59","RURAL AREAS","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PUBLIC SECTOR",0,1900,"WIDOWED","MOSTLY SATISFIED",2,"IT`S DIFFICULT TO TELL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,68,25.2825698988697
"3028","MALE",64,"60-64","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",24,1800,"MARRIED","MOSTLY SATISFIED",1,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",2,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",176,80,25.8264462809917
"3029","FEMALE",43,"35-44","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","services for the population and transport services","UNEMPLOYED",4,700,"SINGLE","MIXED",3,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",172,70,23.6614386154678
"3030","MALE",78,"65+","URBAN BELOW 20,000","Pomorskie","POST-SECONDARY OR HIGHER","economy and administration","RETIRED",0,2006,"MARRIED","PLEASED",5,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",25,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",178,78,24.6181037747759
"3031","MALE",35,"35-44","URBAN BELOW 20,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",0,1600,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",5,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",171,77,26.3328887520947
"3032","FEMALE",71,"65+","URBAN 200,000-500,000","Zachodnio-pomorskie","SECONDARY","no specialisation","RETIRED",0,3900,"WIDOWED","MOSTLY SATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",8,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,65,26.0374939913475
"3033","MALE",69,"65+","URBAN BELOW 20,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",0,1400,"MARRIED","PLEASED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",175,93,30.3673469387755
"3034","FEMALE",68,"65+","RURAL AREAS","Slaskie","PRIMARY/NO EDUCATION","no specialisation","LONG-TERM SICK/DISABLED",0,425,"WIDOWED","MOSTLY DISSATISFIED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",152,50,21.6412742382271
"3035","MALE",59,"45-59","URBAN 500,000 AND OVER","Dolnoslaskie","VOCATIONAL/GRAMMAR","services for the population and transport services","LONG-TERM SICK/DISABLED",0,1400,"MARRIED","MIXED",5,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",182,105,31.6990701606086
"3036","FEMALE",60,"60-64","URBAN 100,000-200,000","Podlaskie","SECONDARY","architecture and construction","RETIRED",0,1200,"MARRIED","MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,72,24.9134948096886
"3037","FEMALE",56,"45-59","URBAN BELOW 20,000","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","technical science","UNEMPLOYED",18,240,"SINGLE","MOSTLY DISSATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",3,"YES",7,"NO","NO","NO","0","NO",NA,NA,"NONE",153,52,22.2136784997223
"3038","FEMALE",39,"35-44","RURAL AREAS","Mazowieckie","SECONDARY","social sciences","EMPLOYED IN PRIVATE SECTOR",0,1500,"MARRIED","MIXED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",150,58,25.7777777777778
"3039","FEMALE",42,"35-44","URBAN 500,000 AND OVER","Wielkopolskie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PUBLIC SECTOR",1,3900,"SINGLE","MIXED",1,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",154,65,27.4076572777871
"3040","FEMALE",61,"60-64","URBAN 100,000-200,000","Pomorskie","POST-SECONDARY OR HIGHER","social sciences","RETIRED",0,2000,"WIDOWED","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",165,76,27.9155188246097
"3041","MALE",75,"65+","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",24,1520,"MARRIED","MOSTLY SATISFIED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",165,74,27.1808999081726
"3042","FEMALE",50,"45-59","URBAN 100,000-200,000","Lubelskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,0,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",7,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",166,100,36.2897372623022
"3043","MALE",17,"16-24","RURAL AREAS","Podkarpackie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",9,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",172,76,25.6895619253651
"3044","MALE",54,"45-59","URBAN BELOW 20,000","Mazowieckie","SECONDARY","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED","MOSTLY SATISFIED",4,"IT`S DIFFICULT TO TELL","YES","NO OPINION","YES",5,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",176,102,32.9287190082645
"3045","FEMALE",49,"45-59","RURAL AREAS","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","OTHER ECONOMICALLY INACTIVE",0,0,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,70,28.0403781445281
"3046","MALE",54,"45-59","RURAL AREAS","Slaskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","FARMER",0,1200,"SINGLE","MOSTLY DISSATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",176,68,21.952479338843
"3047","MALE",26,"25-34","URBAN 200,000-500,000","Zachodnio-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","EMPLOYED IN PUBLIC SECTOR",0,1200,"MARRIED","DELIGHTED",3,"IT`S DIFFICULT TO TELL","YES","YES","NO",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",175,94,30.6938775510204
"3048","MALE",64,"60-64","URBAN 100,000-200,000","Opolskie","POST-SECONDARY OR HIGHER","biological sciences","EMPLOYED IN PRIVATE SECTOR",0,0,"MARRIED","PLEASED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",170,83,28.719723183391
"3049","FEMALE",26,"25-34","URBAN BELOW 20,000","Malopolskie","POST-SECONDARY OR HIGHER","services for the population and transport services","EMPLOYED IN PRIVATE SECTOR",0,3000,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",165,61,22.4058769513315
"3050","FEMALE",23,"16-24","URBAN 100,000-200,000","Mazowieckie","SECONDARY","pedagogics","PUPIL OR STUDENT",0,1000,"SINGLE","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",168,60,21.2585034013605
"3051","MALE",23,"16-24","URBAN 20,000-100,000","Slaskie","SECONDARY","no specialisation","OTHER ECONOMICALLY INACTIVE",12,0,"SINGLE","MIXED",2,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"YES",20,"NO","NO","YES","3","YES, TO EU COUNTRY","IT DEPENDS","GREAT BRITAIN","ACTIVE",182,63,19.0194420963652
"3052","FEMALE",46,"45-59","RURAL AREAS","Pomorskie","POST-SECONDARY OR HIGHER","healthcare","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",25,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","LESS THAN 1 YEAR","OTHER EU COUNTRIES","NONE",160,80,31.25
"3053","FEMALE",61,"60-64","RURAL AREAS","Lodzkie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",24,845,"MARRIED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",156,64,26.2984878369494
"3054","FEMALE",19,"16-24","URBAN 100,000-200,000","Lodzkie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",163,69,25.9701155481953
"3055","MALE",63,"60-64","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","economy and administration","RETIRED",0,3000,"MARRIED","MIXED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"YES",30,"NO","NO","NO","0","NO",NA,NA,"NONE",170,80,27.681660899654
"3056","FEMALE",61,"60-64","URBAN 200,000-500,000","Slaskie","VOCATIONAL/GRAMMAR","technical science","RETIRED",24,952,"MARRIED","MOSTLY SATISFIED",4,"MOST PEOPLE CAN BE TRUSTED","NO OPINION","NO OPINION","NO",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",158,65,26.0374939913475
"3057","FEMALE",46,"45-59","RURAL AREAS","Mazowieckie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,65,26.0374939913475
"3058","MALE",62,"60-64","RURAL AREAS","Malopolskie","SECONDARY","technical science","RETIRED",0,3795,"MARRIED","MOSTLY SATISFIED",5,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","NO",0,"NO",0,"YES","NO","NO","0","NO",NA,NA,"PASSIVE",170,73,25.2595155709343
"3059","MALE",16,"16-24","URBAN BELOW 20,000","Slaskie","PRIMARY/NO EDUCATION","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",0,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",172,77,26.0275824770146
"3060","MALE",19,"16-24","URBAN BELOW 20,000","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","LESS THAN 1 YEAR","GERMANY","ACTIVE",179,72,22.4712087637714
"3061","FEMALE",55,"45-59","RURAL AREAS","Lubuskie","SECONDARY","biological sciences","FARMER",0,2000,"MARRIED","PLEASED",8,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,67,26.171875
"3062","FEMALE",23,"16-24","URBAN 100,000-200,000","Lodzkie","POST-SECONDARY OR HIGHER","services for the population and transport services","PUPIL OR STUDENT",16,1000,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",168,54,19.1326530612245
"3063","FEMALE",59,"45-59","RURAL AREAS","Opolskie","VOCATIONAL/GRAMMAR","social sciences","RETIRED",24,700,"MARRIED","TERRIBLE",9,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",5,"YES",2,"NO","NO","NO","0","NO",NA,NA,"NONE",164,90,33.4622248661511
"3064","MALE",35,"35-44","URBAN BELOW 20,000","Opolskie","SECONDARY","technical science","OTHER ECONOMICALLY INACTIVE",6,0,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",3,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",178,76,23.9868703446535
"3065","MALE",42,"35-44","URBAN BELOW 20,000","Malopolskie","VOCATIONAL/GRAMMAR","technical science","EMPLOYED IN PUBLIC SECTOR",0,1420,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","YES","4","NO",NA,NA,"NONE",170,89,30.7958477508651
"3066","MALE",58,"45-59","URBAN 20,000-100,000","Lubelskie","VOCATIONAL/GRAMMAR","no specialisation","EMPLOYED IN PUBLIC SECTOR",12,1100,"MARRIED","MOSTLY SATISFIED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",21,"YES",25,"NO","NO","NO","0","NO",NA,NA,"NONE",170,90,31.1418685121107
"3067","MALE",50,"45-59","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","technical science","FARMER",0,3000,"MARRIED","MIXED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",176,80,25.8264462809917
"3068","FEMALE",25,"25-34","URBAN BELOW 20,000","Lubuskie","SECONDARY","no specialisation","PUPIL OR STUDENT",0,400,"SINGLE","MOSTLY SATISFIED",4,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",3,"NO",0,"YES","NO","NO","0","NO",NA,NA,"PASSIVE",170,65,22.4913494809689
"3069","FEMALE",64,"60-64","RURAL AREAS","Lubelskie","SECONDARY","agriculture, forestry, fishing","RETIRED",24,700,"MARRIED","PLEASED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,64,25.6369171607114
"3070","FEMALE",81,"65+","URBAN 20,000-100,000","Pomorskie","PRIMARY/NO EDUCATION","not applicable","LONG-TERM SICK/DISABLED",0,1400,"WIDOWED","MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",160,62,24.21875
"3071","FEMALE",46,"45-59","URBAN BELOW 20,000","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","FARMER",0,1000,"MARRIED","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,83,30.8596073765616
"3072","MALE",76,"65+","URBAN BELOW 20,000","Malopolskie","POST-SECONDARY OR HIGHER","liberal arts","RETIRED",0,1000,"MARRIED","PLEASED",9,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",7,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",186,120,34.6860908775581
"3073","FEMALE",76,"65+","URBAN 500,000 AND OVER","Malopolskie","POST-SECONDARY OR HIGHER","healthcare","RETIRED",0,1500,"WIDOWED","PLEASED",14,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",12,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,85,29.4117647058824
"3074","FEMALE",61,"60-64","URBAN BELOW 20,000","Zachodnio-pomorskie","POST-SECONDARY OR HIGHER","physical sciences","RETIRED",0,1800,"SINGLE","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",4,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,68,25.2825698988697
"3075","FEMALE",45,"45-59","URBAN 100,000-200,000","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,1200,"WIDOWED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,74,28.90625
"3076","FEMALE",38,"35-44","URBAN 100,000-200,000","Swietokrzyskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,3000,"MARRIED","DELIGHTED",0,"MOST PEOPLE CAN BE TRUSTED","YES","NO OPINION","YES",2,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",164,53,19.7055324211779
"3077","MALE",34,"25-34","URBAN 200,000-500,000","Slaskie","POST-SECONDARY OR HIGHER","other","EMPLOYED IN PRIVATE SECTOR",0,1800,"SINGLE","MOSTLY DISSATISFIED",11,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",1,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",198,81,20.6611570247934
"3078","MALE",65,"65+","URBAN 200,000-500,000","Slaskie","SECONDARY","technical science","RETIRED",24,2500,"MARRIED","PLEASED",2,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",12,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",180,108,33.3333333333333
"3079","MALE",57,"45-59","RURAL AREAS","Kujawsko-pomorskie","VOCATIONAL/GRAMMAR","services for the population and transport services","LONG-TERM SICK/DISABLED",0,1300,"MARRIED","PLEASED",17,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",172,73,24.6755002704164
"3080","FEMALE",40,"35-44","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","production and processing","FARMER",0,800,"MARRIED","MIXED",3,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",168,65,23.0300453514739
"3081","FEMALE",78,"65+","URBAN 500,000 AND OVER","Lodzkie","SECONDARY","technical science","RETIRED",24,1150,"MARRIED","MOSTLY SATISFIED",8,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",164,70,26.0261748958953
"3082","FEMALE",48,"45-59","URBAN 100,000-200,000","Podlaskie","POST-SECONDARY OR HIGHER","healthcare","EMPLOYED IN PUBLIC SECTOR",0,1800,"MARRIED","PLEASED",3,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,58,21.5645449137418
"3083","FEMALE",18,"16-24","RURAL AREAS","Pomorskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",3,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",172,56,18.9291508923743
"3084","MALE",58,"45-59","RURAL AREAS","Wielkopolskie","SECONDARY","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,1200,"MARRIED","PLEASED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",9,"YES",12,"NO","NO","NO","0","NO",NA,NA,"NONE",169,70,24.5089457652043
"3085","FEMALE",17,"16-24","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","MOSTLY SATISFIED",4,"IT`S DIFFICULT TO TELL","YES","NO OPINION","YES",5,"NO",0,"NO","NO","NO","0","NO",NA,NA,"ACTIVE",155,59,24.5577523413111
"3086","FEMALE",18,"16-24","RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","no specialisation","PUPIL OR STUDENT",0,0,"SINGLE","PLEASED",4,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",167,58,20.7967298935064
"3087","FEMALE",23,"16-24","URBAN 200,000-500,000","Wielkopolskie","SECONDARY","no specialisation","OTHER ECONOMICALLY INACTIVE",0,0,"MARRIED","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","YES",2,"YES",10,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",159,56,22.1510225070211
"3088","FEMALE",58,"45-59","URBAN 100,000-200,000","Malopolskie","SECONDARY","no specialisation","RETIRED",0,1400,"MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","YES","NO OPINION","NO",20,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",168,70,24.8015873015873
"3089","MALE",69,"65+","URBAN BELOW 20,000","Mazowieckie","PRIMARY/NO EDUCATION","no specialisation","RETIRED",0,720,"MARRIED","MOSTLY SATISFIED",7,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",177,90,28.7273771904625
"3090","MALE",52,"45-59","RURAL AREAS","Wielkopolskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,1800,"SINGLE","MIXED",6,"ONE CAN`T BE TOO CAREFUL","YES","NO","YES",10,"NO",0,"YES","YES","NO","0","NO",NA,NA,"NONE",176,110,35.5113636363636
"3091","FEMALE",45,"45-59","RURAL AREAS","Swietokrzyskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PUBLIC SECTOR",0,0,"MARRIED","DELIGHTED",0,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",160,52,20.3125
"3092","FEMALE",40,"35-44","RURAL AREAS","Podlaskie","VOCATIONAL/GRAMMAR","production and processing","EMPLOYED IN PRIVATE SECTOR",0,1400,"MARRIED","MOSTLY SATISFIED",1,"IT`S DIFFICULT TO TELL","NO OPINION","NO OPINION","YES",20,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,70,24.2214532871972
"3093","FEMALE",70,"65+","RURAL AREAS","Mazowieckie","VOCATIONAL/GRAMMAR","production and processing","RETIRED",0,800,"WIDOWED","MOSTLY SATISFIED",8,"IT`S DIFFICULT TO TELL","YES","NO","YES",0,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",158,75,30.0432622977087
"3094","FEMALE",28,"25-34","URBAN 100,000-200,000","Lodzkie","VOCATIONAL/GRAMMAR","services for the population and transport services","UNEMPLOYED",0,5000,"MARRIED","PLEASED",5,"ONE CAN`T BE TOO CAREFUL","NO","NO","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",164,74,27.5133848899465
"3095","MALE",36,"35-44","URBAN BELOW 20,000","Dolnoslaskie","SECONDARY","technical science","EMPLOYED IN PRIVATE SECTOR",0,2500,"SINGLE","PLEASED",0,"IT`S DIFFICULT TO TELL","YES","YES","YES",20,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",180,94,29.0123456790123
"3096","MALE",38,"35-44","RURAL AREAS","Lubelskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,2000,"MARRIED","PLEASED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",170,80,27.681660899654
"3097","FEMALE",24,"16-24","URBAN BELOW 20,000","Mazowieckie","SECONDARY","no specialisation","PUPIL OR STUDENT",2,1200,"SINGLE","PLEASED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",4,"NO",0,"NO","NO","NO","0","YES, TO EU COUNTRY","IT DEPENDS","FRANCE","ACTIVE",173,59,19.7133215276154
"3098","FEMALE",62,"60-64","URBAN 20,000-100,000","Swietokrzyskie","SECONDARY","no specialisation","RETIRED",24,900,"SINGLE","MOSTLY SATISFIED",14,"ONE CAN`T BE TOO CAREFUL","NO","NO","YES",1,"YES",0,"NO","NO","NO","0","NO",NA,NA,"NONE",155,61,25.3902185223725
"3099","MALE",37,"35-44","RURAL AREAS","Podkarpackie","PRIMARY/NO EDUCATION","no specialisation","EMPLOYED IN PRIVATE SECTOR",0,1000,"SINGLE","MOSTLY SATISFIED",0,"ONE CAN`T BE TOO CAREFUL","YES","YES","YES",3,"YES",20,"NO","NO","NO","0","NO",NA,NA,"NONE",168,76,26.9274376417234
"3100","FEMALE",60,"60-64","URBAN 100,000-200,000","Wielkopolskie","POST-SECONDARY OR HIGHER","healthcare","RETIRED",0,2000,"MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","NO OPINION","NO OPINION","YES",10,"YES",10,"NO","NO","NO","0","NO",NA,NA,"NONE",158,79,31.6455696202532
"3101","FEMALE",34,"25-34","RURAL AREAS","Slaskie","SECONDARY","technical science","OTHER ECONOMICALLY INACTIVE",0,0,"MARRIED","MOSTLY SATISFIED",1,"MOST PEOPLE CAN BE TRUSTED","YES","YES","YES",3,"NO",0,"NO","NO","NO","0","NO",NA,NA,"NONE",155,50,20.8116545265349
"3102","MALE",40,"35-44","RURAL AREAS","Warminsko-mazurskie","VOCATIONAL/GRAMMAR","agriculture, forestry, fishing","EMPLOYED IN PRIVATE SECTOR",0,1600,"MARRIED","MOSTLY DISSATISFIED",0,"IT`S DIFFICULT TO TELL","YES","YES","NO",4,"YES",15,"NO","NO","NO","0","NO",NA,NA,"NONE",174,80,26.4235698242833
"3103","MALE",77,"65+","URBAN 100,000-200,000","Podkarpackie","POST-SECONDARY OR HIGHER","social sciences","RETIRED",24,1800,"MARRIED","PLEASED",4,"ONE CAN`T BE TOO CAREFUL","YES","YES","NO",10,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",171,80,27.3588454567217
"3104","MALE",24,"16-24","URBAN 200,000-500,000","Warminsko-mazurskie","POST-SECONDARY OR HIGHER","pedagogics","EMPLOYED IN PRIVATE SECTOR",3,1200,"SINGLE","MOSTLY SATISFIED",2,"ONE CAN`T BE TOO CAREFUL","YES","NO","NO",6,"NO",0,"NO","NO","NO","0","NO",NA,NA,"PASSIVE",174,81,26.7538644470868
